City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,15.5,40,40,6.69,US,1710699276
1,puerto ayora,-0.7393,-90.3518,31.98,89,46,4.02,EC,1710699337
2,ushuaia,-54.8,-68.3,1.81,80,100,7.72,AR,1710699278
3,invercargill,-46.4,168.35,10.01,86,89,4.02,NZ,1710699460
4,iskateley,67.6803,53.1512,-8.32,92,87,4.47,RU,1710699461
5,tolanaro,-25.0319,46.9987,26.29,85,71,6.25,MG,1710699462
6,blackmans bay,-43.0167,147.3167,13.07,90,0,0.45,AU,1710699247
7,jining,35.405,116.5814,6.6,42,94,3.52,CN,1710699463
8,tura,25.5198,90.2201,21.63,21,0,1.44,IN,1710699464
9,olonkinbyen,70.9221,-8.7187,-5.9,88,100,15.12,SJ,1710699238
10,waitangi,-43.9535,-176.5597,13.53,70,83,5.85,NZ,1710699241
11,bilibino,68.0546,166.4372,-25.27,81,15,1.76,RU,1710699249
12,edinburgh of the seven seas,-37.0676,-12.3116,18.71,88,17,5.68,SH,1710699466
13,parnu,58.3859,24.4971,-0.95,86,100,9.77,EE,1710699467
14,port-aux-francais,-49.35,70.2167,8.36,96,100,17.11,TF,1710699233
15,tiksi,71.6872,128.8694,-27.33,98,48,3.0,RU,1710699468
16,big bend,-26.8167,31.9333,22.44,82,59,1.89,SZ,1710699469
17,pueblo,38.2545,-104.6091,8.97,48,100,6.69,US,1710699376
18,iqaluit,63.7506,-68.5145,-18.15,78,40,0.0,CA,1710699470
19,puerto natales,-51.7236,-72.4875,5.25,70,75,15.43,CL,1710699039
20,twon-brass,4.3151,6.2418,29.29,78,23,5.28,NG,1710699471
21,mugumu,-1.85,34.7,20.36,72,61,1.06,TZ,1710699471
22,undurkhaan,47.3194,110.6556,-13.3,91,93,2.11,MN,1710699472
23,klyuchi,52.2667,79.1667,-2.54,90,100,3.4,RU,1710699473
24,kununurra,-15.7667,128.7333,27.99,78,99,2.06,AU,1710699407
25,jutai,-5.1833,-68.9,25.42,87,100,0.7,BR,1710699475
26,tongchuanshi,35.0806,109.0897,6.37,85,100,0.74,CN,1710699475
27,itoman,26.1247,127.6694,19.43,79,75,8.23,JP,1710699476
28,elko,41.0002,-115.5012,11.52,39,61,7.6,US,1710699345
29,aykhal,66.0,111.5,-18.25,100,100,3.11,RU,1710699339
30,mount isa,-20.7333,139.5,26.87,61,40,3.6,AU,1710699479
31,nova sintra,14.8667,-24.7167,20.43,80,78,12.92,CV,1710699346
32,grytviken,-54.2811,-36.5092,4.46,72,4,1.06,GS,1710699259
33,utrik,11.2278,169.8474,26.98,79,98,4.28,MH,1710699344
34,adamstown,-25.066,-130.1015,26.43,82,30,4.84,PN,1710699239
35,bredasdorp,-34.5322,20.0403,18.06,72,100,7.87,ZA,1710699283
36,xai-xai,-25.0519,33.6442,24.96,88,32,7.08,MZ,1710699482
37,port mathurin,-19.6833,63.4167,26.05,89,40,4.12,MU,1710699483
